web-scraper-order,web-scraper-start-url,news-link,news-link-href
"1677582765-331","https://turnbackhoax.id/page/100","[SALAH] Air Rebusan Pare Dapat Membersihkan Kolesterol dan Semua Penyakit","https://turnbackhoax.id/2022/02/10/salah-air-rebusan-pare-dapat-membersihkan-kolesterol-dan-semua-penyakit/"
"1677582765-332","https://turnbackhoax.id/page/100","[SALAH]: Judul Artikel Tempo “Lima Jabatan yang Diemban Luhut Sekaligus Seperti Negara Milik Moyangnya Sendiri Saja”","https://turnbackhoax.id/2022/02/09/salah-judul-artikel-tempo-lima-jabatan-yang-diemban-luhut-sekaligus-seperti-negara-milik-moyangnya-sendiri-saja/"
"1677582765-333","https://turnbackhoax.id/page/100","[SALAH] Video Kemunculan UFO di Bandung","https://turnbackhoax.id/2022/02/09/salah-video-kemunculan-ufo-di-bandung/"
"1677582765-334","https://turnbackhoax.id/page/100","[SALAH] Daging Tikus Dijual Sebagai Chicken Wings Tanpa Tulang Di Amerika Serikat","https://turnbackhoax.id/2022/02/08/salah-daging-tikus-dijual-sebagai-chicken-wings-tanpa-tulang-di-amerika-serikat/"
"1677582765-335","https://turnbackhoax.id/page/100","[SALAH] Video Detik-Detik Erupsi Gunung Anak Krakatau","https://turnbackhoax.id/2022/02/08/salah-video-detik-detik-erupsi-gunung-anak-krakatau/"
"1677582765-336","https://turnbackhoax.id/page/100","[SALAH] Lowongan Pekerjaan Kantor Dinas Pendidikan Kota Malang","https://turnbackhoax.id/2022/02/08/salah-lowongan-pekerjaan-kantor-dinas-pendidikan-kota-malang/"
"1677582765-337","https://turnbackhoax.id/page/100","[SALAH] Kenaikan Air Laut Merupakan Hoax","https://turnbackhoax.id/2022/02/07/salah-kenaikan-air-laut-merupakan-hoax/"
"1677582765-338","https://turnbackhoax.id/page/100","[SALAH] Supir Truk Kecelakaan Di Balikpapan Dihukum Mati","https://turnbackhoax.id/2022/02/07/salah-supir-truk-kecelakaan-di-balikpapan-dihukum-mati/"
"1677582765-339","https://turnbackhoax.id/page/100","[SALAH] Dzalim, Cara Vaksin Model Baru Anti Omicron","https://turnbackhoax.id/2022/02/07/salah-dzalim-cara-vaksin-model-baru-anti-omicron/"
"1677582765-340","https://turnbackhoax.id/page/100","[SALAH] Foto Lampion untuk Perayaan Imlek Saat Pandemi Covid-19","https://turnbackhoax.id/2022/02/07/salah-foto-lampion-untuk-perayaan-imlek-saat-pandemi-covid-19/"
"1677582768-341","https://turnbackhoax.id/page/99","[SALAH] Mayoritas Penduduk Dunia Belum Divaksin Covid-19","https://turnbackhoax.id/2022/02/14/salah-mayoritas-penduduk-dunia-belum-divaksin-covid-19/"
"1677582768-342","https://turnbackhoax.id/page/99","[SALAH] Pidato Henry Kissinger Sebut Vaksin adalah Alat Pengendali Populasi","https://turnbackhoax.id/2022/02/13/salah-pidato-henry-kissinger-sebut-vaksin-adalah-alat-pengendali-populasi/"
"1677582768-343","https://turnbackhoax.id/page/99","[SALAH] Game Omicron Sejak Tahun 1999","https://turnbackhoax.id/2022/02/13/salah-game-omicron-sejak-tahun-1999/"
"1677582768-344","https://turnbackhoax.id/page/99","[SALAH] Garam dan Air Kelapa dapat Hilangkan Vaksin di Dalam Tubuh","https://turnbackhoax.id/2022/02/13/salah-garam-dan-air-kelapa-dapat-hilangkan-vaksin-di-dalam-tubuh/"
"1677582768-345","https://turnbackhoax.id/page/99","[SALAH] “bentuk Bebek dan tikus jika DNA nya di gabungkan”","https://turnbackhoax.id/2022/02/13/salah-bentuk-bebek-dan-tikus-jika-dna-nya-di-gabungkan/"
"1677582768-346","https://turnbackhoax.id/page/99","[SALAH] “Kartu Nikah Kementrian Agama RI dengan Empat Foto Istri”","https://turnbackhoax.id/2022/02/13/salah-kartu-nikah-kementrian-agama-ri-dengan-empat-foto-istri/"
"1677582768-347","https://turnbackhoax.id/page/99","[SALAH] Jasa Sertifikat Vaksin melalui Telegram","https://turnbackhoax.id/2022/02/13/salah-jasa-sertifikat-vaksin-melalui-telegram/"
"1677582768-348","https://turnbackhoax.id/page/99","[SALAH] Video Dinosaurus ditemukan di Yogyakarta","https://turnbackhoax.id/2022/02/13/salah-video-dinosaurus-ditemukan-di-yogyakarta/"
"1677582768-349","https://turnbackhoax.id/page/99","[SALAH] Bahaya Racun dari Nasi yang dimasak dengan Magiccom","https://turnbackhoax.id/2022/02/13/salah-bahaya-racun-dari-nasi-yang-dimasak-dengan-magiccom/"
